    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,             MMD,9,1249.5,1598.8123,80,8410,159.9,124950,409188900,1598.8123,
  POGhosts,             MMD,10,5622.4,4087.1968,350,13380,408.7,562240,4814950800,4087.1968,
  POGhosts,             MMD,11,7998.4,3271.5976,60,13360,327.2,799840,7457072000,3271.5976,
  POGhosts,             MMD,12,2875.5,3769.6072,180,13760,377,287550,2233633900,3769.6072,
  POGhosts,             MMD,13,6451.5,3952.368,630,16570,395.2,645150,5708685300,3952.368,
  POGhosts,             MMD,14,3347.1,3365.2695,220,15620,336.5,334710,2241486700,3365.2695,
  POGhosts,             MMD,15,4599.5,3844.7819,40,17600,384.5,459950,3578992500,3844.7819,
  POGhosts,             MMD,16,716.8,909.4764,70,6250,90.9,71680,133267800,909.4764,
  POGhosts,             MMD,17,1624.3,2772.0314,140,12720,277.2,162430,1024566700,2772.0314,
  POGhosts,             MMD,18,1271,1981.5836,70,11250,198.2,127100,550284800,1981.5836,
  POGhosts,             MMD,19,3704.2,3339.2654,90,11550,333.9,370420,2476028400,3339.2654,
  COGhosts,      ONE_MODULE,0,1574.6,1348.1596,240,7040,134.8,157460,427872400,1348.1596,426.6873439
  COGhosts,      ONE_MODULE,1,608.9,875.3988,90,7940,87.5,60890,112941900,875.3988,
  COGhosts,      ONE_MODULE,2,1027.9,1664.259,120,14100,166.4,102790,379863900,1664.259,
  COGhosts,      ONE_MODULE,3,1173.7,1543.4938,80,7800,154.3,117370,373612100,1543.4938,
  COGhosts,      ONE_MODULE,4,1795.4,1761.3702,330,7340,176.1,179540,629486200,1761.3702,
  COGhosts,      ONE_MODULE,5,1436.8,1570.4042,100,7780,157,143680,450590200,1570.4042,
  COGhosts,      ONE_MODULE,6,5759.5,3509.5142,230,13710,351,575950,4536536300,3509.5142,
  COGhosts,      ONE_MODULE,7,709.4,1078.5164,70,8500,107.9,70940,165481400,1078.5164,
  COGhosts,      ONE_MODULE,8,2916,2767.5205,300,11790,276.8,291600,1608563400,2767.5205,
  COGhosts,      ONE_MODULE,9,461.9,396.7817,110,3760,39.7,46190,36921300,396.7817,
  COGhosts,      ONE_MODULE,10,569.9,447.7339,100,2640,44.8,56990,52324700,447.7339,
  COGhosts,      ONE_MODULE,11,4297.3,3801.2417,350,13510,380.1,429730,3277173100,3801.2417,
  COGhosts,      ONE_MODULE,12,610.7,754.0413,70,6860,75.4,61070,93584700,754.0413,
  COGhosts,      ONE_MODULE,13,483,370.0546,90,2780,37,48300,36886000,370.0546,
  COGhosts,      ONE_MODULE,14,926.2,1602.0799,150,10960,160.2,92620,339884000,1602.0799,
  COGhosts,      ONE_MODULE,15,5221.5,2893.4438,840,10380,289.3,522150,3555235900,2893.4438,
  COGhosts,      ONE_MODULE,16,6360.2,3428.7404,720,13250,342.9,636020,5209084200,3428.7404,
  COGhosts,      ONE_MODULE,17,984.1,1084.495,170,6810,108.4,98410,213282100,1084.495,
  COGhosts,      ONE_MODULE,18,3389.6,3581.1606,290,16350,358.1,338960,2418585200,3581.1606,
  COGhosts,      ONE_MODULE,19,953.1,1573.7838,110,11430,157.4,95310,336042700,1573.7838,
  COGhosts,     TWO_MODULES,0,4732.7,4073.6775,360,15190,407.4,473270,3882734900,4073.6775,455.2284198
  COGhosts,     TWO_MODULES,1,4321.3,3433.0061,180,11420,343.3,432130,3034130900,3433.0061,
  COGhosts,     TWO_MODULES,2,565.3,629.2668,100,3990,62.9,56530,71158100,629.2668,
  COGhosts,     TWO_MODULES,3,4082.6,3633.6187,370,12340,363.4,408260,2973877600,3633.6187,
  COGhosts,     TWO_MODULES,4,622.7,702.2444,90,5080,70.2,62270,87597100,702.2444,
  COGhosts,     TWO_MODULES,5,4373.3,3349.613,290,11680,335,437330,3023346100,3349.613,
  COGhosts,     TWO_MODULES,6,686.2,574.4242,160,3960,57.4,68620,79753400,574.4242,
  COGhosts,     TWO_MODULES,7,6438.4,2883.2318,360,12310,288.3,643840,4968289000,2883.2318,
  COGhosts,     TWO_MODULES,8,519.6,483.4679,150,3210,48.3,51960,50138800,483.4679,
  COGhosts,     TWO_MODULES,9,627.6,643.3108,90,5160,64.3,62760,80359200,643.3108,
  COGhosts,     TWO_MODULES,10,1198.3,1185.3023,280,7270,118.5,119830,282681500,1185.3023,
  COGhosts,     TWO_MODULES,11,5770.1,3442.925,360,12760,344.3,577010,4502924900,3442.925,
  COGhosts,     TWO_MODULES,12,593,618.3107,120,3560,61.8,59300,73013400,618.3107,
  COGhosts,     TWO_MODULES,13,978.1,1235.3503,190,7850,123.5,97810,246750900,1235.3503,
  COGhosts,     TWO_MODULES,14,1226.9,1571.9284,220,10230,157.2,122690,395153300,1571.9284,
  COGhosts,     TWO_MODULES,15,763.9,998.5999,200,6880,99.9,76390,157077300,998.5999,
  COGhosts,     TWO_MODULES,16,941.5,1073.2716,140,7200,107.3,94150,202681500,1073.2716,
  COGhosts,     TWO_MODULES,17,4154.1,3443.1176,70,12940,344.3,415410,2899305500,3443.1176,
  COGhosts,     TWO_MODULES,18,1606.9,2512.3564,70,15690,251.2,160690,883094300,2512.3564,
  COGhosts,     TWO_MODULES,19,681.5,1029.5369,150,8640,103,68150,151378900,1029.5369,
  COGhosts,   THREE_MODULES,0,1526.8,1909.7141,140,10360,191,152680,594165600,1909.7141,468.1273342
  COGhosts,   THREE_MODULES,1,2472.1,2053.5017,250,8610,205.4,247210,1028597900,2053.5017,
  COGhosts,   THREE_MODULES,2,6847.5,3239.6141,780,12780,324,684750,5727840500,3239.6141,
  COGhosts,   THREE_MODULES,3,1504.9,1166.9744,290,6430,116.7,150490,361293500,1166.9744
  COGhosts,   THREE_MODULES,4,1028.9,1630.3832,140,8890,163,102890,369020300,1630.3832
  COGhosts,   THREE_MODULES,5,826.2,733.1085,150,3880,73.3,82620,121468000,733.1085
  COGhosts,   THREE_MODULES,6,2162,2164.0054,90,9760,216.4,216200,931033400,2164.0054
  COGhosts,   THREE_MODULES,7,961.3,1392.5514,190,8850,139.3,96130,284390500,1392.5514
  COGhosts,   THREE_MODULES,8,3757.7,2123.4967,790,8320,212.3,375770,1858445500,2123.4967
  COGhosts,   THREE_MODULES,9,5942.1,3319.1484,180,12710,331.9,594210,4621513100,3319.1484
  COGhosts,   THREE_MODULES,10,1168.5,1281.2418,180,8780,128.1,116850,299055700,1281.2418
  COGhosts,   THREE_MODULES,11,3305.5,2911.5935,130,13170,291.2,330550,1931893300,2911.5935
  COGhosts,   THREE_MODULES,12,749.3,682.7429,130,4940,68.3,74930,102292700,682.7429
  COGhosts,   THREE_MODULES,13,985.9,1320.9746,160,8950,132.1,98590,269952300,1320.9746
  COGhosts,   THREE_MODULES,14,1021,1159.612,120,5760,116,102100,237369400,1159.612
  COGhosts,   THREE_MODULES,15,7282.4,2812.0614,1130,13620,281.2,728240,6086196200,2812.0614
  COGhosts,   THREE_MODULES,16,620.2,811.7545,100,4580,81.2,62020,103700400,811.7545
  COGhosts,   THREE_MODULES,17,541.8,555.942,180,4990,55.6,54180,59952800,555.942
  COGhosts,   THREE_MODULES,18,1236.5,1377.2732,170,7140,137.7,123650,340684500,1377.2732
  COGhosts,   THREE_MODULES,19,2979.4,3273.7702,140,13620,327.4,297940,1948722000,3273.7702,
  COGhosts, THREE_MULTITASK,0,7605.3,3035.9304,380,13840,303.6,760530,6696529300,3035.9304,425.45002
  COGhosts, THREE_MULTITASK,1,5306.9,3704.4597,310,17110,370.4,530690,4174897900,3704.4597,
  COGhosts, THREE_MULTITASK,2,4496.2,4279.1939,70,13460,427.9,449620,3834420000,4279.1939,
  COGhosts, THREE_MULTITASK,3,4567.9,3089.5782,400,13140,309,456790,3031574900,3089.5782,
  COGhosts, THREE_MULTITASK,4,5513.2,3638.4331,280,15270,363.8,551320,4350118800,3638.4331,
  COGhosts, THREE_MULTITASK,5,5240.9,3674.498,280,13150,367.4,524090,4083394900,3674.498,
  COGhosts, THREE_MULTITASK,6,1366.2,2137.7378,220,11680,213.8,136620,639072600,2137.7378,
  COGhosts, THREE_MULTITASK,7,4333.9,3634.3418,150,14750,363.4,433390,3185904500,3634.3418,
  COGhosts, THREE_MULTITASK,8,6467.7,3401.8978,370,13440,340.2,646770,5328832300,3401.8978,
  COGhosts, THREE_MULTITASK,9,5874,3182.3782,390,13450,318.2,587400,4453013200,3182.3782,
  COGhosts, THREE_MULTITASK,10,1336.1,1273.6156,210,8720,127.4,133610,339103900,1273.6156,
  COGhosts, THREE_MULTITASK,11,5681.9,3395.1212,810,12820,339.5,568190,4369556700,3395.1212,
  COGhosts, THREE_MULTITASK,12,8328,3397.1007,820,15340,339.7,832800,8078047400,3397.1007,
  COGhosts, THREE_MULTITASK,13,4904.6,2924.6343,920,12840,292.5,490460,3252305200,2924.6343,
  COGhosts, THREE_MULTITASK,14,3506.4,3518.7356,90,14060,351.9,350640,2455252600,3518.7356,
  COGhosts, THREE_MULTITASK,15,8051.4,3249.7531,980,14160,325,805140,7528032800,3249.7531,
  COGhosts, THREE_MULTITASK,16,5281.4,4244.761,280,14260,424.5,528140,4573100200,4244.761,
  COGhosts, THREE_MULTITASK,17,3179.2,3064.7842,150,13320,306.5,317920,1940628600,3064.7842,
  COGhosts, THREE_MULTITASK,18,3850.8,3207.2537,290,12440,320.7,385080,2501227200,3207.2537,
  COGhosts, THREE_MULTITASK,19,3118.5,2151.5451,460,10990,215.2,311850,1430789700,2151.5451,
  COGhosts,             MMD,0,1819,2189.0469,130,9460,218.9,181900,805276800,2189.0469,342.4539054
  COGhosts,             MMD,1,980.2,1741.5748,80,14040,174.2,98020,396354400,1741.5748,
  COGhosts,             MMD,2,5045.2,3498.0287,200,12680,349.8,504520,3756788600,3498.0287,
  COGhosts,             MMD,3,3521.9,3389.1522,280,11310,338.9,352190,2377526900,3389.1522,
  COGhosts,             MMD,4,2958.9,3146.0168,70,11720,314.6,295890,1855353700,3146.0168,
  COGhosts,             MMD,5,1993.7,1605.0052,320,8240,160.5,199370,652512100,1605.0052,
  COGhosts,             MMD,6,3303.6,2409.1335,240,9830,240.9,330360,1665965800,2409.1335,
  COGhosts,             MMD,7,3335.4,3410.8654,90,14700,341.1,333540,2264255600,3410.8654,
  COGhosts,             MMD,8,5548.2,3767.9819,210,16670,376.8,554820,4483823400,3767.9819,
  COGhosts,             MMD,9,610.8,815.4093,160,6540,81.5,61080,103132000,815.4093,
  COGhosts,             MMD,10,2763.2,2648.5826,160,12960,264.9,276320,1458011400,2648.5826,
  COGhosts,             MMD,11,1402.4,1902.8114,100,11260,190.3,140240,555121000,1902.8114
  COGhosts,             MMD,12,1699.8,2132.2928,220,8520,213.2,169980,739052600,2132.2928
  COGhosts,             MMD,13,745.2,1043.1861,160,6820,104.3,74520,163267800,1043.1861
  COGhosts,             MMD,14,4701.7,3171.7586,420,14080,317.2,470170,3206543500,3171.7586
  COGhosts,             MMD,15,628.5,781.3474,70,6390,78.1,62850,99941100,781.3474
  COGhosts,             MMD,16,2599.4,3146.9196,240,11560,314.7,259940,1656095200,3146.9196
  COGhosts,             MMD,17,1888.7,2076.2654,120,8910,207.6,188870,783495700,2076.2654
  COGhosts,             MMD,18,1006.4,1352.3339,180,8940,135.2,100640,282336000,1352.3339
  COGhosts,             MMD,19,480.2,639.2656,80,6050,63.9,48020,63516600,639.2656
