    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts, THREE_MULTITASK,    8,  3566.2000,  2227.9028,      190.0,    11270.0,      222.8,   356620.0,   1763169800.0,  2227.9028
  POGhosts, THREE_MULTITASK,    9,  2295.3000,  2228.8097,      140.0,    10770.0,      222.9,   229530.0,   1018631900.0,  2228.8097
  POGhosts, THREE_MULTITASK,   10,  3056.7000,  2453.3346,      100.0,    11630.0,      245.3,   305670.0,   1530207700.0,  2453.3346
  POGhosts, THREE_MULTITASK,   11,  3194.7000,  2338.1364,       70.0,    13390.0,      233.8,   319470.0,   1561832100.0,  2338.1364
  POGhosts, THREE_MULTITASK,   12,  3034.7000,  2383.6033,      190.0,    12220.0,      238.4,   303470.0,   1483415300.0,  2383.6033
  POGhosts, THREE_MULTITASK,   13,  2747.8000,  2056.6186,      190.0,    10820.0,      205.7,   274780.0,   1173778800.0,  2056.6186
  POGhosts, THREE_MULTITASK,   14,  3486.9000,  2544.6913,      150.0,    12510.0,      254.5,   348690.0,   1856917100.0,  2544.6913
  POGhosts, THREE_MULTITASK,   15,  3222.8000,  2580.8827,      140.0,    12600.0,      258.1,   322280.0,   1698078600.0,  2580.8827
  POGhosts, THREE_MULTITASK,   16,  1443.4000,  1530.7655,       70.0,     7270.0,      153.1,   144340.0,    440321400.0,  1530.7655
  POGhosts, THREE_MULTITASK,   17,  2849.2000,  2040.4321,      140.0,     9930.0,      204.0,   284920.0,   1223967000.0,  2040.4321
  POGhosts, THREE_MULTITASK,   18,  2864.9000,  2165.7735,       70.0,     9800.0,      216.6,   286490.0,   1285132100.0,  2165.7735
  POGhosts, THREE_MULTITASK,   19,  2242.7000,  1844.4324,      180.0,     7490.0,      184.4,   224270.0,    839761500.0,  1844.4324
  POGhosts,             MMD,    0,  1163.9000,  1485.2534,       90.0,     7060.0,      148.5,   116390.0,    353858100.0,  1485.2534
  POGhosts,             MMD,    1,  1711.6000,  1577.8465,      190.0,     9240.0,      157.8,   171160.0,    539427800.0,  1577.8465
  POGhosts,             MMD,    2,   685.4000,   840.9559,       70.0,     3940.0,       84.1,    68540.0,    116990800.0,   840.9559
  POGhosts,             MMD,    3,   975.4000,  1194.4615,       70.0,     6700.0,      119.4,    97540.0,    236387600.0,  1194.4615
  POGhosts,             MMD,    4,   884.2000,  1181.9930,       80.0,     5650.0,      118.2,    88420.0,    216494600.0,  1181.9930
  POGhosts,             MMD,    5,  1642.8000,  1594.4747,      160.0,     8400.0,      159.4,   164280.0,    521571800.0,  1594.4747
  POGhosts,             MMD,    6,   159.0000,   265.3433,       50.0,     2740.0,       26.5,    15900.0,      9498400.0,   265.3433
  POGhosts,             MMD,    7,   633.3000,   796.9741,       80.0,     4860.0,       79.7,    63330.0,    102988500.0,   796.9741
  POGhosts,             MMD,    8,   993.9000,  1319.9838,       70.0,     8970.0,      132.0,    99390.0,    271277100.0,  1319.9838
  POGhosts,             MMD,    9,   572.6000,   896.5564,       70.0,     5850.0,       89.7,    57260.0,    112364600.0,   896.5564
  POGhosts,             MMD,   10,   963.4000,  1300.4515,      100.0,     6520.0,      130.0,    96340.0,    260240200.0,  1300.4515
  POGhosts,             MMD,   11,  1485.5000,  1451.0076,      160.0,     7980.0,      145.1,   148550.0,    429107900.0,  1451.0076
  POGhosts,             MMD,   12,   648.3000,  1034.5028,      140.0,     7220.0,      103.5,    64830.0,    147978700.0,  1034.5028
  POGhosts,             MMD,   13,  1048.9000,  1184.2390,      140.0,     6430.0,      118.4,   104890.0,    248858900.0,  1184.2390
  POGhosts,             MMD,   14,   914.3000,  1181.5392,       90.0,     5710.0,      118.2,    91430.0,    221801900.0,  1181.5392
  POGhosts,             MMD,   15,  1676.6000,  1597.4343,      140.0,     7570.0,      159.7,   167660.0,    533726600.0,  1597.4343
