    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts,             MMD,   12,   619.8000,  1144.5399,      100.0,     9240.0,      114.5,    61980.0,    168102400.0,  1144.5399
  POGhosts,             MMD,   13,  1572.0000,  1817.1300,       70.0,    11170.0,      181.7,   157200.0,    574012600.0,  1817.1300
  POGhosts,             MMD,   14,  1029.8000,  1388.5360,       70.0,     5790.0,      138.9,   102980.0,    296924000.0,  1388.5360
  POGhosts,             MMD,   15,  1896.7000,  1498.6418,      140.0,     6210.0,      149.9,   189670.0,    582093900.0,  1498.6418
  POGhosts,             MMD,   16,   305.3000,   384.9530,       70.0,     2690.0,       38.5,    30530.0,     23991500.0,   384.9530
  POGhosts,             MMD,   17,   688.1000,  1016.0636,       70.0,     3880.0,      101.6,    68810.0,    149554300.0,  1016.0636
  POGhosts,             MMD,   18,   652.0000,   823.6161,       70.0,     4250.0,       82.4,    65200.0,    109666400.0,   823.6161
  POGhosts,             MMD,   19,   636.7000,   644.4104,      130.0,     4060.0,       64.4,    63670.0,     81649900.0,   644.4104
  COGhosts,      ONE_MODULE,    0,  1173.7000,  1144.8264,      130.0,     5060.0,      114.5,   117370.0,    267509300.0,  1144.8264
  COGhosts,      ONE_MODULE,    1,  1025.4000,  1716.7661,      100.0,     9780.0,      171.7,   102540.0,    396925800.0,  1716.7661
  COGhosts,      ONE_MODULE,    2,   548.9000,  1032.8023,       70.0,     7760.0,      103.3,    54890.0,    135730500.0,  1032.8023
  COGhosts,      ONE_MODULE,    3,   425.7000,   820.1370,      100.0,     6750.0,       82.0,    42570.0,     84711900.0,   820.1370
  COGhosts,      ONE_MODULE,    4,  1105.2000,  1060.8035,      140.0,     4640.0,      106.1,   110520.0,    233551800.0,  1060.8035
  COGhosts,      ONE_MODULE,    5,   392.0000,   226.0375,       80.0,     1700.0,       22.6,    39200.0,     20424600.0,   226.0375
  COGhosts,      ONE_MODULE,    6,  1836.5000,  1982.7531,      210.0,    10270.0,      198.3,   183650.0,    726472900.0,  1982.7531
  COGhosts,      ONE_MODULE,    7,   174.7000,   242.8470,       40.0,     2480.0,       24.3,    17470.0,      8890500.0,   242.8470
